iso3c,type,year,epc_pp1990_share_gtco2_nobunkers_rcbyearend,pc_pp1990_atp_mer_pf2_share_gtco2_nobunkers_rcbyearend,pc_pp1990_atp_ppp_pf2_share_gtco2_nobunkers_rcbyearend,ecpc_pp1990_share_gtco2_nobunkers_rcbyearend,cpc_pp1990_atp_mer_pf2_share_gtco2_nobunkers_rcbyearend,epc_pp2015_share_gtco2_nobunkers_rcbyearend,pc_pp2015_atp_mer_pf2_share_gtco2_nobunkers_rcbyearend,pc_pp2015_atp_ppp_pf2_share_gtco2_nobunkers_rcbyearend,epc_pp2016_share_gtco2_nobunkers_rcbyearend,pc_pp2016_atp_mer_pf2_share_gtco2_nobunkers_rcbyearend,pc_pp2016_atp_ppp_pf2_share_gtco2_nobunkers_rcbyearend
EGY,terr,2004,10.912603523084982,10.548157769035933,8.016413779193606,12.55166993666978,14.34739289915934,NA,NA,NA,NA,NA,NA
EGY,terr,2005,10.744264274353343,10.379818520304294,7.848074530461966,12.383330687938141,14.1790536504277,NA,NA,NA,NA,NA,NA
EGY,terr,2006,10.564939709451235,10.200493955402187,7.668749965559859,12.204006123036034,13.999729085525594,NA,NA,NA,NA,NA,NA
EGY,terr,2007,10.375997255452752,10.011551501403703,7.479807511561376,12.01506366903755,13.81078663152711,NA,NA,NA,NA,NA,NA
EGY,terr,2008,10.178125628124945,9.813679874075898,7.28193588423357,11.817192041709745,13.612915004199305,NA,NA,NA,NA,NA,NA
EGY,terr,2009,9.97149745141697,9.607051697367922,7.075307707525594,11.610563865001769,13.406286827491328,NA,NA,NA,NA,NA,NA
EGY,terr,2010,9.767741690386213,9.403295936337162,6.871551946494836,11.40680810397101,13.202531066460569,NA,NA,NA,NA,NA,NA
EGY,terr,2011,9.550666532949183,9.186220778900136,6.654476789057807,11.189732946533983,12.985455909023543,NA,NA,NA,NA,NA,NA
EGY,terr,2012,9.336777465612807,8.972331711563758,6.44058772172143,10.975843879197605,12.771566841687164,NA,NA,NA,NA,NA,NA
EGY,terr,2013,9.12520468316296,8.76075892911391,6.229014939271583,10.764271096747757,12.559994059237317,NA,NA,NA,NA,NA,NA
EGY,terr,2014,8.898140211363344,8.533694457314295,6.001950467471968,10.537206624948142,12.332929587437702,NA,NA,NA,NA,NA,NA
EGY,terr,2015,8.67349710491971,8.30905135087066,5.777307361028333,10.312563518504508,12.108286480994067,6.322731312064506,6.612121890447262,5.662309473348557,NA,NA,NA
EGY,terr,2016,8.433937295995694,8.069491541946645,5.537747552104317,10.073003709580492,11.868726672070052,6.083171503140489,6.372562081523245,5.422749664424541,5.842990867905047,6.221455754682187,5.389098586209148
EGY,terr,2017,8.1736373852309665,7.809191631181918,5.27744764133959,9.812703798815765,11.608426761305324,5.822871592375762,6.112262170758518,5.162449753659813,5.582690957140319,5.961155843917459,5.12879867544442
EGY,terr,2018,7.929551991594188,7.565106237545139,5.0333622477028115,9.568618405178986,11.364341367668546,5.5787861987389835,5.8681767771217395,4.918364360023035,5.33860556350354,5.71707045028068,4.884713281807641
EGY,terr,2019,7.673225397321704,7.308779643272655,4.777035653430327,9.312291810906501,11.10801477339606,5.322459604466499,5.611850182849255,4.662037765750551,5.082278969231057,5.460743856008197,4.628386687535157
EGY,terr,2020,7.445421766780806,7.080976012731757,4.549232022889429,9.084488180365604,10.880211142855163,5.094655973925601,5.384046552308357,4.4342341352096515,4.854475338690158,5.232940225467297,4.400583056994258
EGY,terr,2021,7.198357678991695,6.8339119249426465,4.302167935100319,8.837424092576494,10.633147055066054,4.847591886136491,5.136982464519247,4.187170047420542,4.607411250901047,4.985876137678187,4.153518969205148
EGY,terr,2022,6.939217551821756,6.574771797772707,4.043027807930379,8.578283965406554,10.374006927896113,4.588451758966551,4.877842337349307,3.9280299202506024,4.3482711237311085,4.726736010508248,3.8943788420352092
ESP,terr,1990,8.32833569508035,1.7086632663584387,3.1701780032912867,7.516227440779307,2.260010356105521,NA,NA,NA,NA,NA,NA
ESP,terr,1991,8.087930127948901,1.4682576992269898,2.929772436159838,7.275821873647859,2.019604788974072,NA,NA,NA,NA,NA,NA
ESP,terr,1992,7.839117368389427,1.2194449396675164,2.6809596766003647,7.0270091140883855,1.770792029414599,NA,NA,NA,NA,NA,NA
ESP,terr,1993,7.598896599243969,0.9792241705220583,2.4407389074549064,6.786788344942927,1.5305712602691406,NA,NA,NA,NA,NA,NA
ESP,terr,1994,7.346412955965836,0.7267405272439253,2.1882552641767736,6.534304701664794,1.2780876169910076,NA,NA,NA,NA,NA,NA
ESP,terr,1995,7.080184444670054,0.46051201594814284,1.922026752880991,6.268076190369012,1.011859105695225,NA,NA,NA,NA,NA,NA
ESP,terr,1996,6.826502083332154,0.20682965461024327,1.6683443915430913,6.014393829031112,0.7581767443573255,NA,NA,NA,NA,NA,NA
ESP,terr,1997,6.560476459304855,-0.05919596941705607,1.402318767515792,5.748368205003812,0.49215112033002617,NA,NA,NA,NA,NA,NA
ESP,terr,1998,6.285671706203054,-0.33400072251885704,1.127514014413991,5.473563451902011,0.2173463672282252,NA,NA,NA,NA,NA,NA
ESP,terr,1999,5.987380109168532,-0.6322923195533792,0.8292224173794689,5.175271854867489,-0.08094522980629693,NA,NA,NA,NA,NA,NA
ESP,terr,2000,5.677083196465584,-0.9425892322563267,0.5189255046765213,4.864974942164542,-0.3912421425092445,NA,NA,NA,NA,NA,NA
ESP,terr,2001,5.365047745479952,-1.254624683241959,0.2068900536908891,4.552939491178909,-0.7032775934948767,NA,NA,NA,NA,NA,NA
ESP,terr,2002,5.032856387478296,-1.5868160412436143,-0.12530130431076625,4.2207481331772545,-1.035468951496532,NA,NA,NA,NA,NA,NA
ESP,terr,2003,4.696279432871899,-1.9233929958500122,-0.46187825891716416,3.8841711785708566,-1.37204590610293,NA,NA,NA,NA,NA,NA
ESP,terr,2004,4.343011560563564,-2.2766608681583467,-0.8151461312254984,3.5309033062625224,-1.7253137784112642,NA,NA,NA,NA,NA,NA
ESP,terr,2005,3.974405344007045,-2.645267084714866,-1.1837523477820175,3.162297089706003,-2.0939199949677834,NA,NA,NA,NA,NA,NA
